from,to,active,date,country_from,city_from,country_to,city_to,cum_case
BRU,CDG,0,,Belgium,Brussels,France,Paris,38496.0
BRU,BIO,0,,Belgium,Brussels,Spain,Bilbao,38496.0
BRU,DSS,0,,Belgium,Brussels,Senegal,Dakar,38496.0
BRU,ZNZ,0,,Belgium,Brussels,Tanzania,Zanzibar,38496.0
BRU,PMO,0,,Belgium,Brussels,Italy,Palermo,38496.0
BRU,PUY,0,,Belgium,Brussels,Croatia,Pula,38496.0
BRU,ATL,0,,Belgium,Brussels,United States,Atlanta,38496.0
BRU,TUN,0,,Belgium,Brussels,Tunisia,Tunis,38496.0
BRU,OTP,0,,Belgium,Brussels,Romania,Bucharest,38496.0
BRU,BRS,0,,Belgium,Brussels,United Kingdom,Bristol,38496.0
BRU,ZRH,0,,Belgium,Brussels,Switzerland,Zurich,38496.0
BRU,SIN,0,,Belgium,Brussels,Singapore,Singapore,38496.0
BRU,NRT,0,,Belgium,Brussels,Japan,Tokyo,38496.0
BRU,FNA,0,,Belgium,Brussels,Sierra Leone,Freetown,38496.0
BRU,FUE,0,,Belgium,Brussels,Spain,Fuerteventura,38496.0
BRU,PRG,0,,Belgium,Brussels,Czech Republic,Prague,38496.0
BRU,TXL,0,,Belgium,Brussels,Germany,Berlin,38496.0
BRU,IKA,0,,Belgium,Brussels,Iran,Tehran,38496.0
BRU,JFK,0,,Belgium,Brussels,United States,New,38496.0
BRU,SXB,0,,Belgium,Brussels,France,Strassbourg,38496.0
BRU,FLR,0,,Belgium,Brussels,Italy,Firenze,38496.0
BRU,ALC,0,,Belgium,Brussels,Spain,Alicante,38496.0
BRU,BOD,0,,Belgium,Brussels,France,Bordeaux,38496.0
BRU,SSH,0,,Belgium,Brussels,Egypt,Sharm,38496.0
BRU,FSC,0,,Belgium,Brussels,France,Figari,38496.0
BRU,ABJ,0,,Belgium,Brussels,Cote d'Ivoire,Abidjan,38496.0
BRU,TIA,0,,Belgium,Brussels,Albania,Tirana,38496.0
BRU,HRG,0,,Belgium,Brussels,Egypt,Hurghada,38496.0
BRU,BLL,0,,Belgium,Brussels,Denmark,Billund,38496.0
BRU,DLM,0,,Belgium,Brussels,Turkey,Dalaman,38496.0
BRU,BVC,0,,Belgium,Brussels,Cabo Verde,Sal,38496.0
BRU,AJA,0,,Belgium,Brussels,France,Ajaccio,38496.0
BRU,MBJ,0,,Belgium,Brussels,Jamaica,Montego,38496.0
BRU,AGP,0,,Belgium,Brussels,Spain,Malaga,38496.0
BRU,CAI,0,,Belgium,Brussels,Egypt,Cairo,38496.0
BRU,ALG,0,,Belgium,Brussels,Algeria,Algier,38496.0
BRU,JTR,0,,Belgium,Brussels,Greece,Thira,38496.0
BRU,LPA,0,,Belgium,Brussels,Spain,Las,38496.0
BRU,FEZ,0,,Belgium,Brussels,Morocco,Fez,38496.0
BRU,LIS,0,,Belgium,Brussels,Portugal,Lisbon,38496.0
BRU,ESU,0,,Belgium,Brussels,Morocco,Essaouira,38496.0
BRU,OUA,0,,Belgium,Brussels,Burkina Faso,Ouagadougou,38496.0
BRU,ACE,0,,Belgium,Brussels,Spain,Lanzarote,38496.0
BRU,BKK,0,,Belgium,Brussels,Thailand,Bangkok,38496.0
BRU,FIH,0,,Belgium,Brussels,Congo Republic,Kinshasa,38496.0
BRU,REU,0,,Belgium,Brussels,Spain,Reus,38496.0
BRU,OLB,0,,Belgium,Brussels,Italy,Olbia,38496.0
BRU,SMI,0,,Belgium,Brussels,Greece,Samos,38496.0
BRU,BSL,0,,Belgium,Brussels,Switzerland,Basel,38496.0
BRU,DLA,0,,Belgium,Brussels,Cameroon,Douala,38496.0
BRU,ZAD,0,,Belgium,Brussels,Croatia,Zadar,38496.0
BRU,SVQ,0,,Belgium,Brussels,Spain,Sevilla,38496.0
BRU,MPL,0,,Belgium,Brussels,France,Montpellier,38496.0
BRU,MIA,0,,Belgium,Brussels,United States,Miami,38496.0
BRU,EWR,0,,Belgium,Brussels,United States,Newark,38496.0
BRU,GPA,0,,Belgium,Brussels,Greece,Patras,38496.0
BRU,VRA,0,,Belgium,Brussels,Cuba,Varadero,38496.0
BRU,ZAG,0,,Belgium,Brussels,Croatia,Zagreb,38496.0
BRU,ACC,0,,Belgium,Brussels,Ghana,Accra,38496.0
BRU,LXR,0,,Belgium,Brussels,Egypt,Luxor,38496.0
BRU,SVO,0,,Belgium,Brussels,Russia,Moscow,38496.0
BRU,FNC,0,,Belgium,Brussels,Portugal,Funchal,38496.0
BRU,STR,0,,Belgium,Brussels,Germany,Stuttgart,38496.0
BRU,XRY,0,,Belgium,Brussels,Spain,Jerez,38496.0
BRU,SOF,0,,Belgium,Brussels,Bulgaria,Sofia,38496.0
BRU,NBE,0,,Belgium,Brussels,Tunisia,Enfidha,38496.0
BRU,TOS,0,,Belgium,Brussels,Norway,Tromso,38496.0
BRU,OPO,0,,Belgium,Brussels,Portugal,Porto,38496.0
BRU,LGW,0,,Belgium,Brussels,United Kingdom,London,38496.0
BRU,VAR,0,,Belgium,Brussels,Bulgaria,Varna,38496.0
BRU,TNG,0,,Belgium,Brussels,Morocco,Tanger,38496.0
BRU,CMN,0,,Belgium,Brussels,Morocco,Casablanca,38496.0
BRU,IST,0,,Belgium,Brussels,Turkey,Istanbul,38496.0
BRU,JMK,0,,Belgium,Brussels,Greece,Mykonos,38496.0
BRU,CFU,0,,Belgium,Brussels,Greece,Korfu,38496.0
BRU,SZX,0,,Belgium,Brussels,China,Shenzhen,38496.0
BRU,TLV,0,,Belgium,Brussels,Israel,Tel,38496.0
BRU,DBV,0,,Belgium,Brussels,Croatia,Dubrovnik,38496.0
BRU,KGS,0,,Belgium,Brussels,Greece,Kos,38496.0
BRU,AYT,0,,Belgium,Brussels,Turkey,Antalya,38496.0
BRU,KBP,0,,Belgium,Brussels,Ukraine,Kiev,38496.0
BRU,ZTH,0,,Belgium,Brussels,Greece,Zakynthos,38496.0
BRU,GOT,0,,Belgium,Brussels,Sweden,Gothenburg,38496.0
BRU,ESB,0,,Belgium,Brussels,Turkey,Ankara,38496.0
BRU,AMM,0,,Belgium,Brussels,Jordan,Amman,38496.0
BRU,IAS,0,,Belgium,Brussels,Romania,Iasi,38496.0
BRU,MXP,0,,Belgium,Brussels,Italy,Milano,38496.0
BRU,NCL,0,,Belgium,Brussels,United Kingdom,Newcastle,38496.0
BRU,VRN,0,,Belgium,Brussels,Italy,Verona,38496.0
BRU,ORD,0,,Belgium,Brussels,United States,Chicago,38496.0
BRU,RHO,0,,Belgium,Brussels,Greece,Rhodes,38496.0
BRU,BJM,0,,Belgium,Brussels,Burundi,Bujumbura,38496.0
BRU,CIY,0,,Belgium,Brussels,Italy,Comiso,38496.0
BRU,CLY,0,,Belgium,Brussels,France,Calvi,38496.0
BRU,CUN,0,,Belgium,Brussels,Mexico,Cancun,38496.0
BRU,SPC,0,,Belgium,Brussels,Spain,Santa,38496.0
BRU,ADB,0,,Belgium,Brussels,Turkey,Izmir,38496.0
BRU,KVA,0,,Belgium,Brussels,Greece,Kavala,38496.0
BRU,BMA,0,,Belgium,Brussels,Sweden,Stockholm,38496.0
BRU,MAN,0,,Belgium,Brussels,United Kingdom,Manchester,38496.0
BRU,VCE,0,,Belgium,Brussels,Italy,Venice,38496.0
BRU,NCE,0,,Belgium,Brussels,France,Nice,38496.0
BRU,OUD,0,,Belgium,Brussels,Morocco,Oujda,38496.0
BRU,BER,0,,Belgium,Brussels,Germany,Berlin,38496.0
BRU,LEI,0,,Belgium,Brussels,Spain,Almeria,38496.0
BRU,BEG,0,,Belgium,Brussels,Serbia,Beograd,38496.0
BRU,MLA,0,,Belgium,Brussels,Malta,Valletta,38496.0
BRU,RMF,0,,Belgium,Brussels,Egypt,Marsa,38496.0
BRU,VLC,0,,Belgium,Brussels,Spain,Valencia,38496.0
BRU,BDS,0,,Belgium,Brussels,Italy,Brindisi,38496.0
BRU,PMI,0,,Belgium,Brussels,Spain,Palma,38496.0
BRU,YYZ,0,,Belgium,Brussels,Canada,Toronto,38496.0
BRU,ADA,0,,Belgium,Brussels,Turkey,Adana,38496.0
BRU,LDE,0,,Belgium,Brussels,France,Tarbes,38496.0
BRU,TIV,0,,Belgium,Brussels,Montenegro,Tivat,38496.0
BRU,SPU,0,,Belgium,Brussels,Croatia,Split,38496.0
BRU,TLS,0,,Belgium,Brussels,France,Toulouse,38496.0
BRU,PFO,0,,Belgium,Brussels,Cyprus,Paphos,38496.0
BRU,ARN,0,,Belgium,Brussels,Sweden,Stockholm,38496.0
BRU,FAO,0,,Belgium,Brussels,Portugal,Faro,38496.0
BRU,LHR,0,,Belgium,Brussels,United Kingdom,London,38496.0
BRU,LED,0,,Belgium,Brussels,Russia,Sankt,38496.0
BRU,RAK,0,,Belgium,Brussels,Morocco,Marrakech,38496.0
BRU,CPH,0,,Belgium,Brussels,Denmark,Copenhagen,38496.0
BRU,LCA,0,,Belgium,Brussels,Cyprus,Larnaca,38496.0
BRU,AGA,0,,Belgium,Brussels,Morocco,Agadir,38496.0
BRU,VNO,0,,Belgium,Brussels,Lithuania,Vilnius,38496.0
BRU,RBA,0,,Belgium,Brussels,Morocco,Rabat,38496.0
BRU,DJE,0,,Belgium,Brussels,Tunisia,Djerba,38496.0
BRU,DOH,0,,Belgium,Brussels,Qatar,Doha,38496.0
BRU,EDI,0,,Belgium,Brussels,United Kingdom,Edinburgh,38496.0
BRU,HAM,0,,Belgium,Brussels,Germany,Hamburg,38496.0
BRU,PDL,0,,Belgium,Brussels,Portugal,Ponta,38496.0
BRU,BIA,0,,Belgium,Brussels,France,Bastia,38496.0
BRU,NDR,0,,Belgium,Brussels,Morocco,Nador,38496.0
BRU,BJL,0,,Belgium,Brussels,Gambia,Banjul,38496.0
BRU,MUC,0,,Belgium,Brussels,Germany,Munich,38496.0
BRU,MRS,0,,Belgium,Brussels,France,Marseille,38496.0
BRU,HKG,0,,Belgium,Brussels,Hong Kong,Hong,38496.0
BRU,KTT,0,,Belgium,Brussels,Finland,Kittila,38496.0
BRU,KRK,0,,Belgium,Brussels,Poland,Krakow,38496.0
