from,to,active
JIB,ADE,1
JIB,DXB,0
JIB,CDG,0
JIB,IST,0
HBE,BAH,1
HBE,BGY,1
HBE,AMM,1
HBE,KWI,1
HBE,BEN,1
HBE,MRA,1
HBE,TIP,1
HBE,MCT,1
HBE,DMM,1
HBE,JED,1
HBE,MED,1
HBE,RUH,1
HBE,IST,1
HBE,SHJ,1
HBE,ATH,0
HBE,DXB,0
HBE,AUH,0
HBE,YNB,0
ATZ,AMM,1
ATZ,KWI,1
ATZ,JED,1
ATZ,MED,1
ATZ,RUH,1
ATZ,SHJ,1
CAI,ALG,1
CAI,VIE,1
CAI,BAH,1
CAI,BRU,1
CAI,DLA,1
CAI,YYZ,1
CAI,NDJ,1
CAI,CTU,1
CAI,CAN,1
CAI,HGH,1
CAI,CPH,1
CAI,ASM,1
CAI,ADD,1
CAI,CDG,1
CAI,SXF,1
CAI,FRA,1
CAI,MUC,1
CAI,ACC,1
CAI,ATH,1
CAI,BUD,1
CAI,BOM,1
CAI,BGW,1
CAI,BSR,1
CAI,EBL,1
CAI,ISU,1
CAI,TLV,1
CAI,BGY,1
CAI,MXP,1
CAI,FCO,1
CAI,AMM,1
CAI,AQJ,1
CAI,NBO,1
CAI,KWI,1
CAI,BEY,1
CAI,MLA,1
CAI,CMN,1
CAI,AMS,1
CAI,LOS,1
CAI,MCT,1
CAI,OTP,1
CAI,DME,1
CAI,SVO,1
CAI,KGL,1
CAI,AHB,1
CAI,ELQ,1
CAI,DMM,1
CAI,HAS,1
CAI,JED,1
CAI,GIZ,1
CAI,MED,1
CAI,RUH,1
CAI,AJF,1
CAI,TUU,1
CAI,TIF,1
CAI,YNB,1
CAI,JNB,1
CAI,BCN,1
CAI,MAD,1
CAI,JUB,1
CAI,KRT,1
CAI,PZU,1
CAI,BKK,1
CAI,TUN,1
CAI,IST,1
CAI,SAW,1
CAI,EBB,1
CAI,KBP,1
CAI,AUH,1
CAI,DXB,1
CAI,RKT,1
CAI,SHJ,1
CAI,LHR,1
CAI,JFK,1
CAI,IAD,1
CAI,LCA,0
CAI,ABV,0
CAI,ZRH,0
CAI,DUB,0
CAI,DAR,0
CAI,NRT,0
CAI,KAN,0
CAI,PEK,0
CAI,GVA,0
CAI,BEG,0
DBB,VRN,0
DBB,MXP,0
HRG,BRU,1
HRG,CRL,1
HRG,OST,1
HRG,SOF,1
HRG,BSL,1
HRG,SXF,1
HRG,TXL,1
HRG,CGN,1
HRG,DUS,1
HRG,FRA,1
HRG,HAM,1
HRG,HAJ,1
HRG,FKB,1
HRG,LEJ,1
HRG,MUC,1
HRG,NUE,1
HRG,PAD,1
HRG,STR,1
HRG,AMS,1
HRG,MST,1
HRG,BEG,1
HRG,GVA,1
HRG,ZRH,1
HRG,BHX,1
HRG,BRS,1
HRG,LGW,1
HRG,MAN,1
HRG,EMA,0
