country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,population,case_ratio,death_ratio
Luxembourg,4035.0393000000076,496.49759999999947,190281,3958.0,4017.0,109.0,101221.0,3718.0,625978.0,0.006322905916821358,0.00017412752524849115
MS Zaandam,0.0,0.0,449,9.0,98.0,2.0,0.0,0.0,,,
Madagascar,-1144.7808999999997,2859.015099999996,7347,326.0,4.0,2.0,3005.0,119.0,27691018.0,1.1772770506306414e-05,7.222558592826021e-08
Malawi,-636.2067840000001,1646.4732000000008,1543,70.0,110.0,3.0,391.0,27.0,19129952.0,3.6591832535701084e-06,1.5682213943871892e-07
Malaysia,290.0,13050.0,298805,6978.0,4722.0,114.0,175293.0,5646.0,32365999.0,0.00021559662039166472,3.5222147785396645e-06
Maldives,233.8043999999998,5345.111099999995,18283,1143.0,56.0,4.0,1193.0,91.0,540544.0,0.0021145364669666114,7.399952640303102e-06
Mali,983.9587520000003,-223.7852959999998,19411,901.0,1121.0,53.0,8048.0,529.0,20250833.0,4.449199694649598e-05,2.6171762909703515e-06
Malta,2659.375,1063.7796000000005,22422,569.0,169.0,6.0,11446.0,460.0,441543.0,0.0012886627123519113,1.3588710499317167e-05
Mauritania,1407.5293000000001,733.0335999999999,725,131.0,67.0,4.0,234.0,7.0,4649658.0,2.817411517148143e-05,8.602783258467612e-07
Mauritius,-1272.6000000000015,3622.5,16063,332.0,471.0,10.0,10067.0,322.0,1271768.0,0.0002610539029131099,7.86306936485271e-06
Mexico,1938.0289999999957,-8409.329600000012,916931,54346.0,88317.0,5666.0,535446.0,37325.0,128932753.0,0.00042150655078310477,4.3945389113036314e-05
Moldova,3461.0467999999955,2071.0026999999977,160737,6340.0,4813.0,221.0,47571.0,2508.0,4033963.0,0.0015716554663490964,5.478483565664831e-05
Monaco,3542.397299999998,600.7526999999995,4858,97.0,149.0,4.0,2183.0,87.0,39242.0,0.002471841394424341,0.00010193160389378727
Mongolia,3327.237500000004,7373.115700000003,2212,140.0,0.0,0.0,467.0,26.0,3278290.0,4.270519081594368e-05,0.0
Montenegro,2720.0,1235.1999999999985,15039,324.0,293.0,9.0,7372.0,312.0,628066.0,0.0005158693513102127,1.4329704203061462e-05
Morocco,2511.5443000000027,-560.3154,188794,7023.0,7322.0,193.0,58885.0,3901.0,36910560.0,0.00019027075178485508,5.228855915488684e-06
Mozambique,-1101.2760050000006,2096.2441579999977,3041,146.0,0.0,0.0,732.0,44.0,31255435.0,4.671187587054859e-06,0.0
Namibia,-1538.1591999999982,1238.8567999999998,873,16.0,0.0,0.0,356.0,13.0,2540905.0,6.296968993331116e-06,0.0
Nepal,3267.337200000009,9773.0,4236,402.0,7.0,2.0,736.0,37.0,29136808.0,1.3796981467565012e-05,6.864169884360703e-08
Netherlands,7678.78949999998,-16067.377299999891,1758516,44449.0,203459.0,5734.0,10484.0,417.0,17134872.0,0.002594066649578707,0.00033463920827654853
New Zealand,-3353.849199999996,14340.652000000024,70880,1503.0,670.0,21.0,46971.0,1447.0,4822233.0,0.0003116813310348131,4.3548289765343155e-06
Nicaragua,797.6548000000008,-5282.846399999995,901,254.0,180.0,17.0,437.0,199.0,6624554.0,3.8342203867611316e-05,2.566210495076348e-06
Niger,1074.0758,492.9837000000005,30839,914.0,1374.0,55.0,16014.0,734.0,24206644.0,3.775822869126344e-05,2.272103477045393e-06
Nigeria,744.7239999999996,711.3745999999995,101519,6401.0,3165.0,192.0,21290.0,1734.0,206139589.0,3.105177433918334e-05,9.31407697722731e-07
Macedonia,3495.1224000000016,1826.6052000000022,62780,1839.0,3069.0,106.0,27371.0,1351.0,2083374.0,0.0008827027696419366,5.087900684178645e-05
Norway,5079.648000000003,711.3875999999996,405270,8267.0,8717.0,233.0,1627.0,32.0,5421241.0,0.0015249275949916264,4.297908910524361e-05
Oman,1806.0,4902.0,103934,5671.0,487.0,27.0,27167.0,1574.0,5106626.0,0.0011105179819317099,5.287248371037941e-06
Pakistan,2551.5252000000005,5824.988400000011,821852,43966.0,17334.0,939.0,203491.0,12489.0,220892340.0,0.00019903813776430635,4.25093962063148e-06
Panama,606.1980000000005,-5735.529100000003,279400,9867.0,7761.0,281.0,73228.0,6194.0,4314767.0,0.002286797873442529,6.512518520698801e-05
Papua New Guinea,-385.2149999999999,8781.2855,303,8.0,0.0,0.0,128.0,8.0,8947024.0,8.941520666536717e-07,0.0
Paraguay,-1711.3025000000032,-4266.3974,17299,829.0,427.0,11.0,4383.0,230.0,7132538.0,0.00011622791214011058,1.5422280259845794e-06
