date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,age,age_diff_kor,cfr_adj,cum_case_adj,cum_case_diff
2020-05-19,Netherlands,107.04169999999999,-265.0278,44449,108.0,5734.0,21.0,167.0,0.0,69.59023993291645,1.2319454271375463,0.025329705049756283,226375.0,181926.0
2020-05-19,New Zealand,-40.9006,174.886,1503,4.0,21.0,0.0,1447.0,14.0,69.29952013294371,0.9412256271648118,0.02493859931822107,1503.0,0.0
2020-05-19,Nicaragua,12.8654,-85.2072,254,229.0,17.0,9.0,199.0,192.0,67.56149228935178,-0.7968022164271247,0.022600428160768623,752.0,498.0
2020-05-19,Niger,17.6078,8.0817,914,5.0,55.0,0.0,734.0,20.0,66.07755966688394,-2.2807348388949578,0.020604091640470803,2669.0,1755.0
2020-05-19,Nigeria,9.082,8.6753,6401,226.0,192.0,1.0,1734.0,90.0,65.65884588029809,-2.6994486254808123,0.02004079542940469,9580.0,3179.0
2020-05-19,Macedonia,41.6086,21.7453,1839,22.0,106.0,2.0,1351.0,50.0,67.76049261175245,-0.5978018940264462,0.022868143557778255,4635.0,2796.0
2020-05-19,Norway,60.472,8.4689,8267,10.0,233.0,0.0,32.0,0.0,69.65135177346686,1.2930572676879564,0.02541191888970173,9169.0,902.0
2020-05-19,Oman,21.0,57.0,5671,292.0,27.0,2.0,1574.0,78.0,66.55895194501704,-1.7993425607618576,0.021251709309141137,5671.0,0.0
2020-05-19,Pakistan,30.3753,69.3451,43966,1841.0,939.0,36.0,12489.0,567.0,67.00697242672081,-1.351322079058093,0.021854431855923097,43966.0,0.0
2020-05-19,Panama,8.538,-80.7821,9867,141.0,281.0,2.0,6194.0,113.0,68.74651618082537,0.38822167504646643,0.024194642369793774,11614.0,1747.0
2020-05-19,Papua New Guinea,-6.315,143.9555,8,0.0,0.0,0.0,8.0,0.0,65.54960005367408,-2.8086944521048167,0.01989382687431158,8.0,0.0
2020-05-19,Paraguay,-23.4425,-58.4438,829,41.0,11.0,0.0,230.0,11.0,67.84584448503904,-0.5124500207398626,0.02298296754583404,829.0,0.0
2020-05-19,Peru,-9.19,-75.0152,99483,4550.0,2914.0,125.0,36524.0,6218.0,68.2038584485514,-0.15443605722749965,0.023464604204611515,124187.0,24704.0
2020-05-19,Philippines,13.0,122.0,12942,224.0,837.0,6.0,2843.0,114.0,66.80919288092284,-1.549101624856064,0.02158835877129222,38771.0,25829.0
